ref,english_name,spanish_name,price
P-001,Short-sleeve T-shirt,Camiseta de manga corta,15.99
P-002,Jeans,Pantalones vaqueros,29.99
P-003,Casual dress,Vestido casual,39.99
P-004,Winter jacket,Chaqueta de invierno,79.99
P-005,Hoodie,Sudadera con capucha,24.99
P-006,Button-up shirt,Camisa de botones,34.99
P-007,Midi skirt,Falda midi,27.99
P-008,Swimsuit,Traje de baño,49.99
P-009,Knit jacket,Chaqueta de punto,54.99
P-010,Trousers,Pantalón de tela,32.99
P-011,Seasonal coat,Abrigo de temporada,89.99
P-012,Sports leggings,Leggings deportivos,19.99
P-013,Wool sweater,Jersey de lana,45.99
P-014,Shorts,Pantalón corto,22.99
P-015,Formal blazer,Blazer formal,64.99
P-016,Basic socks,Calcetines básicos,6.99
P-017,Pajama set,Conjunto de pijama,29.99
P-018,Sport pants,Pantalón deportivo,26.99
P-019,Lightweight jacket,Chaqueta ligera,39.99
P-020,Evening dress,Vestido de noche,69.99
